,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
690,Magnesia Carbonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing in shoulder asif dislocated,,,,,,,,,,,,,,,,,swelling in bends knee,,,,,,,,,,,whole body feels tired painfull esp legs feet,,,right shoulder painrull can rise,,,,,,,,,,,,,,,,,,,
691,Magnesia Muriaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arms go to sleep when waking morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain back and hips ,,,pain arms and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Magnesia Phosphorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general muscular weakness,,,sciatica feet very tender pain,,,,,,,weakness arms hands finger tips stiff numb,,,writers players cramps,,involuntary shaking hands,,,,,,,,,,cramps calves  ,,,,,,,,,tetanic spasm,,twitching chorea,darting pains ,,,paralysis agitans impaired sensation,,,,,,,,,,,,,,,,
693,Magnesia Sulphurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left arm and foot fall asleep in bed in morning after walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Magnolia Grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shooting in all limbs,,,,,,,,,rheumatic pain clavcles,,numbness left arm,,,,,,,,,,,,,,,,,,feet itch,,,,,,,,,stiff sharp erratic pain worse in joints,,,,,,,,,,,,,,,,,,,
695,Mancinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy coldness hands and feet,pain in thumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Manganum Aceticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willsons disease,,,,,,,,,,,,,,,,,,,,,,,,,every part body feels sore to touch rheumatisms feet,,,,,walks stooping forward,,,,,,,,,,,,,,perioesteal inflamation,,,,muscular twitching,inflamation bone and joints  nightly digging pain,,,,supuration skin around joints,,,,,,,,,,,,,,intolerable pain in skin of lower limbs,,,,knees pain and itch,stiffness muscles of legs feel numb,cramps calves,ankle painful,,slap gait walk metacorpo phalangeal joint walks backward,,,shiny red swelling burning spots about joints,,,,,can not walk backwards with out fall tendency fall forward ,,,,paralysis agitans,,,,,,,,,,,,,,,,
697,Medorrhinum,,,,,,,,,,,,,pain back with burning heat,,,,,,,,,,,,,,,,,,,,,,,,,,,gouty concretions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restless better clutching hands,finger joints enlarged puffy,,,,,,,,legs heavy ache all night can not keep them still,,,heels balls feet tender pain,,,soreness soles,,,,burning hands and feet,,ankles easily turn when walking,,,,,,,,,,,,,,,,,,,,
698,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin and extermities cold,,,,,,,,,,,,,,,,,,,,,,,,,,,pain knee wants stretch leg not relive better,,,,,,,,joints sore,,,numbness aching in knee joints,,,,,,,,,,,,,,,,,,,,,,
699,Menispermum,,,,,,,,,,,,,pain back thighs elbows shoulders legs sore asif bruised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Menyanthes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy coldness hand and feet,,,,,,,,,as soon as lies down legs jerk and twitch,,,,,,,,,,,,,cramp like pain,,,,,,,,,,,,,,,,,,,
701,Mercurius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cold calmy sweat on legs at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oily oily perspiration sweat,,,,,,,,,,,,,,,,,,,trembling extermities esp hands,,,weakness limbs,,bone pains and in limbs worse night,,,,,,,,,,,,,,,,,,,,,,,dropsicle swelling feet and leg,,,,,,,lacerating pain joints,,,patient sensitive to cold,,,,,,paralysis agitans,,,,,,,,,,,,,,,,
702,Mezereum,,,,,,,,,,,,,pain neck and back worse movement night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain hip and knee,,,pain burning tibia and long bones,,,,leg and feet go to sleep,,,,,,intolerant of all touch,,,,,,,,,,,,,,,,,,,,,,
703,Morphinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,staggering gait numbness,,,,,,,,,,,,,,,,,,,,
704,Muriaticum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain tendoachilles,,,,,,,heavy painful weakness,,tottering gait,,,,,,,,,,,,,,,,,,,,
705,Mygale Lassiodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,constant motion whole body tremulous,,,,,,,,,,,,,,,,,,,,,,limbs drag while walking,,,,,,intense red sreaks followcourse lymphatics,,,,,,,,,,,,,,,,,,,covulsive uncontrolable movements legs and arms,,,,,,,,,,,,unsteady gait,,,,,,,,,,,,,,,,,,,,
706,Myrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain all muscles,,,,,,pain under shoulder blades and back of neck,,,,,,,,,,,,,,,,,,,,,,pain hollow right foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Natrun Arsenicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feel tired all over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aching arms worse in shoulder,,,,,,,,,,,,pain in thighs anterior crural nerves,knee joints crack,,,,,,,,joints stiff,,,,,,,,,,,,,,,,,,,,,,,,,
708,Natrum Carbonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great weakness limbs esp in morning,,,old sprains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapped hands,soreness between toe and fingers,,,,,,,hollow of kneesis painful on movement,,,easy dislocation spraining ankles,heel and tendo achilles affected,foots bend under,,,,,,icy cold up to knees,,,,,,,,,,,,,,,,,,,,,,
709,Natrum Chloratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands swollen every morning,,,,,,,,extreem weakness in knees and ankles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Natrum Muriaticum,,,,,,,,,,,,,pain back desire firm support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every movement accelarates circulation,,,,,,,,,,,,,,,,,,,,,,,painful contraction hamstrings,,,,,,,,,,,,,,palms hot and perspire sweating,,,hanging nails dryness crackling about finger nails,,numbness tingling fingers lower extermities,,,,,arms legs esp knees feel weak,,ankles weak turn easily,,,,,crackling joints on movement motion,,,coldness leg with congestion head chest stomach,,,,,,,,,,,,,,,,,,,,,,
711,Natrum Phosphoricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hamstring sore,,,,,,,,,,,,,weariness aching wrist finger joints,,,,,,,,,,rheumatism knee joint,,,,,,,,synovial cripitations,,,,,,,,,,,,,,,,,,,,,,,,,
712,Natrum Sulphuricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism worse damp cold weather,,,,,,,,,,,,gout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swelling axillary glands,,pain in limbs compels frequent changes in position run around,,,,,,,,,,,,,,,,,,inflamation around root of nails,,,,pain hip joints worse left stooping,,stiffness knee,,,,,oedema swelling feet,itching between toes,burning soles,crackling joints  ,,,,,,,,,,,,,,,,,,,,,,,,,
713,Niccolum Sulphuricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spine sore ,,,,,,,,,,,,,,,,,,,,spinal pains legs arms heavy weak can not lie on back,,,,,,awakened morning with burning soles,,,,stiff numb sensation worse in neck,,,,,,,,,,,,,,,,,,,,,,
714,Nitricum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offensive sweat in axillae at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweat hands cold blue nails,,,,,,,,,,,,, fetid foot sweat cause soreness sticking pain chillblains toes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Nux Moschata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism better by dry warm clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue on slightest exertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain hip to knee worse movement motion esp going upstairs,,,,,,,rheumatism getting feet wet exposure draughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Nux Vomica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sudden loss of power in arms legs morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paresis arms with shocks,,,,,arms hands go to sleep,,,,,,,,crackling knee joints on during motion,legs numb feel paralyzed cramp calves soles,,,,,,,,,,,,drags feet when walking,,,,partial paralysis from over exertion or getting soaked,,,,,,,,,,,,,,,,
717,Oenanthe Crocata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convulsions opisthotonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbness hand foot,,,,,pain along crural and sciatica nerve commencing from back,,,,,,,,cold hands and feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Oleander Nerium Odorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,want animal heat in limbs,,,,,,,,,,,,,,,,,,,,,,,,,veins hands swelling oedema,,,,,,,,,,,,,,swelling burning stiffness fingers,,,weakness lower limbs,,,,,,,,,paralysis legs and feet,,,stiffness joints,,,constant cold feet,,,,,,,,,,,,,,,,,,,,,,
719,Oleum Animale,,,,,,,,,,,,,sprained in small back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crakling vertebrae on rising head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain in shoulder,,,,,,,,,,,,,,,,,,,,,fihs brine odor sweat heel,,,,,,,restlessness,,,,,,,,,,,,,,,,,,,,,,
720,Oleu JecorisAslli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aching in elbows knees in sacrum,,,burning palms,,,,,,,,,,,,,,,,,,chr rheumatism rigid muscle rendons,,,,,,,,,,,,,,,,,,,,,,,,
721,Onosmodium,,,,,,,,,,,,,pain back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great muscular weakness and weariness,,,,,,,pain left scapular region,,,,,,,,,,,,,,,,,tired numb feel legs popliteal space and below knees,,,,,,,,,,,,staggerring gait side walk too high,,,,,,,,,,,,,,,,,,,,
722,Oxalicum Acidum,,,,,,,,,,,,,backache numb weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multiple cerebral and posterior spinal sclerosis,,,,,,,,,,,,,,,,,,,drawing lancinating pain shooting down extermities,,,,myelities muscular prostraion,,,,pain start from spine extend through extermities,,,,,,,,,wrist painfull asif sprained,,,,,,lower extermities blue cold insensible,,,,,,,,,,,,,,,sensation numbness,,,lancinating pain  in various parts jerking pain,,,,,,,,,,,,,,,,,,,
723,Oxytropis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numb feeling about spine,,,,,,,,pain along ulnar nerve,,,,,,,,,,,patellar tendon reflex lost,,,,,,,,,,,,,staggering gait loss of coordination,pains come and go quickly but muscles remain sore and stiff,,,,,,,,,,,,,,,,,,,
724,Paeonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain wrist fingers knees toes,,,,,,,,,,,weakness legs,,,,,,,,,,,,inhibiting difficult walking,,,,,,,,,,,,,,,,,,,,
725,Palladium,,,,,,,,,,,,,tired feeling small back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy tired limbs,,,,sciatica,,pruritis,rheumatic pain right shoulder ,,,,,,,,,,,,,,,rheumatic pain right hip,,,,,,,,,,,,,,,,,fleeting short time neurolgic pain extermities,,,,,,,,,,,,,,,,,,
726,Paraffine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wandering pain in calves extend to toes in joints,,,feet swelling with tearing ankle and sole,,,feeling electric shocks in all joints,,,,,,,,,,,,,,,,,,,,,,,,,
727,Paris Quadrifolia,,,,,,,,,,,,,neurolgia coccyx when sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sense weight weariness nape neck across shoulder,,,,,numbness upper limb,arm stiff fingers clenched,,,,,,fingers often feel numb,,,,,,,,,,,,,,,,,,evry thing feels numb,,,,neurolgiabegins inter costal region extend left arm,,,,,,,,,,,,,,,,,,
728,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finger tips rough cracked fissured in every winter,,,,,,,scalding sensation knee,,,,,,,,crackling joints,,,,,,chr sprains,,fetid sweat axillae,,,,,,,,,,,,,,,,,
729,Phellandrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired feeling when walking,,,,,,,,,,,,,,,,,,,,
730,Phosphoricum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain night asif bones scraped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great debility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cramps upper arms and wrists,,,itching between fingers or folds joints,,,,,,,,,,,,,,,weak tearing pain joints bone perioesteum,,,,,stumbles easily makes missteps,,,,,,,,,,,,,,,,,,,,
731,Phosphorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness trembling evry exertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stitches elbow and shoulder joints,,,,arms hands become numb,,,,,can scarcely hold any thing hands,,,,post diptheritic paralysis with formication hands feet,,,,,tibia inflamed necrosed,,,,burning feet,,,joints suddenly give way,,,,,,,,,ascending sensory motor paralysis from ends fingers toes,,,,,,,,,,,,,,,,
732,Physalis Solanum Vesicarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiff limb tonic cramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,when walking every jar repeated in head,,,,paralysis,,,,,,,,,,,,,,,,
733,Physostigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tetanic convulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crampy pain limbs,,,suddenjerking limbs going to sleep,,,,,,,,,,,,,,,,hands feet numb,,,,,,,,pain popliteal space,,,,,,,,,,,,,locomotor ataxia inability controle own body,,,,numbness in paralyzed parts,,,,,,,,,,,,,,,,
734,Phytolacca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pains worse morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shooting pain right shoulder stiffness and inability to rise arm,,,,,,,,,,,,,,syphilitic sciatica,,pain under side thighs,,pain legs  dreade fear to get up,,pain ankles feet,aching heels better elevating feet,feet puffed swell up,neurolgia toes,,,,,,,,pain fly like electric shocks shooting lancinating shifting rapidly,,,,,,,,,,,,,,,,,,,
735,Picricum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired heavy feeling all over body esp limbs worse exertion,,,,,burning along spine,,,,,,,,,,,,,,,,,,,,,,,,feet cold can not get warm,,,,,,,,,,,,acute ascending paralysis,,,,,,,,,,,,,,,,
736,Pinus Sylvestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cramps in calves,,,,,,stiffness gouty pains all joints esp finger joints,,,,,,,,,,,,,,,,,,,,,,,,,
737,Piper Methysticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain right arm,,,,,hands feel paralyzed,pain in thumb joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Platina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tightness thighs asif too tightly wrapped,,,,,,,,,,,,numb and weary sensation,,,,,,feel paralyzed,,,,,,,,,,,,,,,,
739,Podophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain between shoulders under right scapula  loins lumbar region,,,,,,,,,,,,,,,,pain right inguinal region shoots down inner thigh to knees,,,,,,,,,,,,,,,,,,paralytic weakness left side,,,,,,,,,,,,,,,,
740,Primula Veris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight lassitude in limbs esp in shoulders,,,,,,,right axillary muscles painful,,,,,,,,,burning in hollow right hand,,,,,,,,,,,,,,drawing pain thumb and big toe,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Primulaobconica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple blotchesback handspalmar surface stiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,eczema arms wrists forearms hands papular excoriated,rheumatic pain around shoulder,,,,,,,,palms hot and dry,,eruption between fingers blister on fingers,,,,,,,,,,,,,,,cracking over joints and fingers,,,,,,,,,,,,,,,,,,,,,,,,,
742,Propylamin Trimethylaminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain wrists ankles worse slightest motion,,,needle held in fingers gets too heavy,,,,,,,,,,pain wrist and ankle unable to stand,,,,,,,,tingling numbness of fingers,,,,,,,,,,,,,,,,,,,,,,
743,Psorinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eruption around finger nails,,,,,,,,,,,,fetid foot sweats,,,weakness joints asif they would not hold together,,,,,,,,,,,,,,,,,,,,,,,,,
744,Pulsatilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,suffering worse from letting affected limb hang down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in limb shifting rapidly,,,veins in forearm and handsswelling,,,,,,,,,numbness around elbow,,,,,,,,,,hip joint paifull,drawing tensive pain thighs and legs wit restlessness sleeplesness chilliness,knees swelling tearing drawingpains,legs feel heavy weary,,,boring pain in heels toward evening,feet redinflamed swelling,,,,,,,,,tensive pain  letting up with snap,,,,,,,,,,,,,,,,,,,
745,Pyrogenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soreness better by motion,,,,,,,,great debility morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapid decbitus septic origin,,,,,,,,,,,,,,,,,,,,,,aching all limbs bones,,,throbbing in vessels veins neck,,,,,,,,,,,,,numbness arms hands feet,,,,,,,,,,,,,,,,,,,bed feels too hard,,,,,,,,,,,,,,,,,,,,,,
746,Quassia Picranea Excelsa,,,,,,,,,,,,,sensation coldness over back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prostration with hunger,,,,,,,,,,,,,,,,,,,cold extermities with sensation internal coldness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inclination to yawn and stretch,,,,,,,,,,,,,,,,,,,,,,
747,Radium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arthritis aching pains worse night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sever pain all limbsjoints esp knee ankles,,,,,,,sharp pain shoulders arms hands fingers,,,,arms feel heavy,,,,,,dermatitis  fingers ,trophic changes in finger nails,,,,muscles hips legs sore,,,legs arms neck feel hard brittle as break on moving,,,,,pain toes calves hip joint popliteal space,,crackling in shoulder,,,,,,,,,,,,,,,,,,,,,,,,,
748,Ranunculus Scelerattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gout in fingers and toes,,,,,,,,,,,,corns with burning soreness esp when feet hang down,sudden burning sticking in right toe,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Rhamnus Californica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unable to contrle muscular muscle action,,,,,,,,,,,,,,,,,,,,,,,,legs sore,,,,,,,,,,,,walk like drunken man,,,,,,,,,,,,,,,,,,,,
750,Rhododendron,,,,,,,,,,,,,,,,,,,,,,,,,,,,worse at rest stormy weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic tearing in all limbs esp right side ,,pain in bones in spots reappear by change weather,,,stiff neck,,pain shoulders arms wrists,,,,,,,,,,,,,,,,,,can not sleep without unless legs crossed,,,,,gouty inflamation great toe joint,,joints swelling,,,,,,,,,,,,,,,,,,,,,,,,,
